stt,url,address,name,location,confirmed,rate,votes,rest_type,special_diet,price_max,price_min
63,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d19354552-Reviews-P_ti_Saigon-Ho_Chi_Minh_City.html,"52 Ngô Quang Huy Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",P'ti Saigon,Thành phố Hồ Chí Minh,Y,5,190,"Kiểu Pháp, Hải sản, Kiểu Địa Trung Hải, Thịt nướng, Quán bar phục vụ đồ ăn, Kiểu Âu",Y,1500000,100000
64,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6943007-Reviews-Nossa_Steakhouse_Italian_Cuisine-Ho_Chi_Minh_City.html,"36 Phạm Hồng Thái Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Nossa Steakhouse & Italian Cuisine,Thành phố Hồ Chí Minh,Y,4.5,282,"Nhà hàng bít tết, Kiểu Ý, Pizza, Thịt nướng, Quầy rượu vang",N,2325581,116279
65,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12362137-Reviews-Rbar-Ho_Chi_Minh_City.html,"8-15 Tôn Đức Thắng, Quận 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 700000 Việt Nam",Rbar,Thành phố Hồ Chí Minh,Y,5,34,"Cà phê, Quầy bar, Quốc tế, Quán bar phục vụ đồ ăn",N,500000,100000
66,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3720812-Reviews-Banh_Mi_37_Nguyen_Trai-Ho_Chi_Minh_City.html,"37 Nguyen Trai, Thành phố Hồ Chí Minh 70000 Việt Nam",Banh Mi 37 Nguyen Trai,Thành phố Hồ Chí Minh,N,4.5,304,"Đồ ăn nhanh, Kiểu Việt, Kiểu Á",N,,
67,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2468834-Reviews-La_Creperie_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html,"16 Đường số 43 Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",La Crêperie - Pizza Pie Saigon,Thành phố Hồ Chí Minh,Y,4.5,398,"Kiểu Pháp, Kiểu Âu",Y,388071,97018
68,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1188805-Reviews-Huong_Lai_Restaurant-Ho_Chi_Minh_City.html,"38 Lý Tự Trọng Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Quán Ăn Hương Lài,Thành phố Hồ Chí Minh,Y,4.5,1021,"Kiểu Á, Kiểu Việt",Y,348837,162791
69,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17642677-Reviews-Sol_Kitchen_Bar-Ho_Chi_Minh_City.html,"115 Lý Tự Trọng Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Sol Kitchen & Bar,Thành phố Hồ Chí Minh,Y,5,93,"Kiểu Mexico, Kiểu La tinh, Kiểu Tây Ban Nha",Y,100,40
70,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8154556-Reviews-Italiani_s_Pizza-Ho_Chi_Minh_City.html,"168 Bùi Viện Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",Italiani's Pizza,Thành phố Hồ Chí Minh,Y,4.5,299,"Kiểu Ý, Pizza",Y,348837,162791
71,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d5774553-Reviews-The_View_Rooftop_Bar-Ho_Chi_Minh_City.html,"195 Bùi Viện, Phạm Ngũ Lão, Quận 1 Tầng 9 Khách Sạn Đức Vương, Thành phố Hồ Chí Minh 700000 Việt Nam",The View Rooftop Bar,Thành phố Hồ Chí Minh,Y,4.5,1069,"Kiểu Á, Kiểu Việt, Thức ăn đường phố",Y,,
72,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12096239-Reviews-East_West_Brewing_Co-Ho_Chi_Minh_City.html,"181-185 Lý Tự Trọng Quận 1, Thành phố Hồ Chí Minh Việt Nam",East West Brewing Co.,Thành phố Hồ Chí Minh,Y,4.5,566,"Kiểu Mỹ, Kiểu Việt, Nhà hàng bán bia, Quán rượu, Quán rượu đặc sản",Y,2325581,116279
73,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6864663-Reviews-The_Vintage_Emporium_Da_Kao-Ho_Chi_Minh_City.html,"95B Nguyen Van Thu Street, Thành phố Hồ Chí Minh 70000 Việt Nam",The Vintage Emporium,Thành phố Hồ Chí Minh,Y,4.5,382,"Cà phê, Kiểu Âu, Tốt cho sức khỏe, Cửa hàng thức ăn ngon, Súp",Y,,
74,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12134206-Reviews-Anan_Saigon-Ho_Chi_Minh_City.html,"89 Tôn Thất Đảm, Quận 1, Thành phố Hồ Chí Minh Việt Nam",Anan Saigon,Thành phố Hồ Chí Minh,Y,4.5,631,"Kiểu Việt, Quốc tế, Kiểu Á",Y,50,25
75,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1122081-Reviews-Nha_Hang_Asian_Kitchen-Ho_Chi_Minh_City.html,"185/6-8 Pham Ngu Lao Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Nha Hang Asian Kitchen,Thành phố Hồ Chí Minh,Y,4.5,735,"Kiểu Á, Kiểu Việt",Y,,
76,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7066029-Reviews-The_Racha_Room_Restaurant-Ho_Chi_Minh_City.html,"12-14 Mạc Thị Bưởi, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",Nhà Hàng The Racha Room,Thành phố Hồ Chí Minh,Y,4.5,412,"Quầy bar, Kiểu Á, Kiểu Thái, Món kết hợp",Y,697674,116279
77,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2153017-Reviews-Royal_Saigon_Restaurant-Ho_Chi_Minh_City.html,"40 Đặng Thị Nhu Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Nhà Hàng Royal Saigon,Thành phố Hồ Chí Minh,Y,4.5,2219,"Kiểu Việt, Tốt cho sức khỏe",Y,232558,46512
78,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2329869-Reviews-KOTO_Saigon_Restaurant_Cooking_Classes-Ho_Chi_Minh_City.html,"19 Nguyễn Đình Chiểu Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",KOTO Saigon Restaurant & Cooking Classes,Thành phố Hồ Chí Minh,Y,4.5,460,"Kiểu Á, Kiểu Việt, Món kết hợp",Y,465116,116279
79,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10816253-Reviews-Vibe_Burger-Ho_Chi_Minh_City.html,"194 Lê Thánh Tôn, P. Bến Thành Tầng trệt, Thành phố Hồ Chí Minh 700000 Việt Nam",Quán Vibe Burger,Thành phố Hồ Chí Minh,Y,4.5,283,"Quầy bar, Quốc tế",Y,15,2
80,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1832810-Reviews-Trois_Gourmands-Ho_Chi_Minh_City.html,"39 Trần Ngọc Diện Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000 Việt Nam",Nhà Hàng Trois Gourmands,Thành phố Hồ Chí Minh,Y,4.5,756,"Kiểu Pháp, Kiểu Âu",N,1279070,581395
81,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12826523-Reviews-Secret_House_Restaurant_Cafe-Ho_Chi_Minh_City.html,"55/2 Lê Thị Hồng Gấm, Thành phố Hồ Chí Minh 700000 Việt Nam",Secret House - Restaurant & Cafe,Thành phố Hồ Chí Minh,Y,4.5,460,"Cà phê, Kiểu Á, Kiểu Việt, Tốt cho sức khỏe",Y,300000,120000
82,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6612402-Reviews-MAY_Restaurant_and_Lounge-Ho_Chi_Minh_City.html,"56-58 Bùi Thị Xuân Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",Nhà Hàng & Bar MAY,Thành phố Hồ Chí Minh,Y,4.5,534,"Quầy bar, Kiểu Âu, Kiểu Á, Kiểu Việt, Quốc tế, Món kết hợp",Y,813953,116279
83,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1123421-Reviews-Xu_Restaurant_Lounge-Ho_Chi_Minh_City.html,"71-75 Hai Ba Trung Street, District 1 Near Hyatt, Caravelle, Sheraton & Intercontinental Hotels, Thành phố Hồ Chí Minh Việt Nam",Xu Restaurant Lounge,Thành phố Hồ Chí Minh,Y,4.5,1058,"Kiểu Á, Kiểu Việt",Y,697674,186047
84,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8586404-Reviews-Chuck_s_Burgers-Ho_Chi_Minh_City.html,"71 Pasteur Ben Nghe, Thành phố Hồ Chí Minh 70000 Việt Nam",Chuck's Burgers,Thành phố Hồ Chí Minh,Y,4.5,388,"Kiểu Mỹ, Đồ ăn nhanh, Kiểu Bữa tối, Kiểu Á",N,139535,46512
85,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d4232534-Reviews-The_Daun_Restaurant-Ho_Chi_Minh_City.html,"48 Lê Lai Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",The Daun Restaurant,Thành phố Hồ Chí Minh,Y,4.5,479,"Kiểu Á, Kiểu Việt, Kiểu Singapore, Kiểu Malaysia",Y,,
86,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10758063-Reviews-Vua_Cua_King_of_Crab_Restaurant_Vu_Huy_Tan-Ho_Chi_Minh_City.html,"30 Vũ Huy Tấn Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam",Nhà Hàng Vua Cua - King of Crab,Thành phố Hồ Chí Minh,Y,4.5,152,"Kiểu Mỹ, Cajun & Creole, Hải sản, Kiểu Á, Kiểu Việt, Kiểu Singapore",N,1000,3
87,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7733642-Reviews-El_Sol_Meat_Wine-Ho_Chi_Minh_City.html,"140/2 Võ Thị Sáu Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",El Sol Meat & Wine,Thành phố Hồ Chí Minh,Y,4.5,127,"Kiểu Mỹ, Kiểu Bữa tối, Kiểu Âu, Quầy rượu vang",N,1000000,46512
88,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15132835-Reviews-Lush_Burger-Ho_Chi_Minh_City.html,"194 Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Lush Burger,Thành phố Hồ Chí Minh,Y,4.5,187,"Kiểu Mỹ, Quầy bar, Quốc tế, Kiểu Việt, Kiểu Úc",Y,,
89,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6650475-Reviews-El_Gaucho_Argentinian_Steakhouse_Hai_Ba_Trung-Ho_Chi_Minh_City.html,"74/1 Hai Bà Trưng Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",El Gaucho Argentinian Steakhouse - Hai Ba Trung,Thành phố Hồ Chí Minh,Y,4.5,718,Tùy chọn đồ ăn không có gluten,Y,,
90,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1910217-Reviews-Redhouse_Saigon-Ho_Chi_Minh_City.html,"417 Điện Biên Phủ, Phường 4, Quận 3 Ward 4, District 3, Thành phố Hồ Chí Minh 70000 Việt Nam",Nhà hàng hải sản Nhà Đỏ,Thành phố Hồ Chí Minh,Y,4.5,169,"Hải sản, Kiểu Á, Kiểu Việt, Kiểu Singapore, Nhà hàng bán bia, Quán rượu",Y,1162791,139535
91,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d19647189-Reviews-Ussina_Aging_Beef_Bar-Ho_Chi_Minh_City.html,"720A Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Thành Phố Hồ Chí Minh Tầng 77, Toà nhà Vincom Landmark 81, Thành phố Hồ Chí Minh 700000 Việt Nam",Ussina Aging Beef & Bar,Thành phố Hồ Chí Minh,Y,5,80,"Kiểu Nhật, Nhà hàng bít tết, Kiểu Âu, Tốt cho sức khỏe, Món kết hợp",N,2147483647,2147483647
92,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1592499-Reviews-La_Cuisine-Ho_Chi_Minh_City.html,"52 Le Thanh Ton District 1, Thành phố Hồ Chí Minh Việt Nam",La Cuisine,Thành phố Hồ Chí Minh,Y,4.5,337,"Quán rượu đặc sản, Kiểu Pháp, Kiểu Âu",Y,1162791,232558
93,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1309266-Reviews-Vietnam_House_Restaurant-Ho_Chi_Minh_City.html,"93-95-97 Đồng Khởi Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Nhà hàng Vietnam House,Thành phố Hồ Chí Minh,Y,4.5,640,Kiểu Việt,Y,1162791,116279
94,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d11931132-Reviews-Cork_Fork_Wine_and_Kitchen-Ho_Chi_Minh_City.html,"3/2 Đề Thám Saigon Inncrowd Hostel, Cô Giang, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Cork & Fork Paris Bánh Crêpes,Thành phố Hồ Chí Minh,Y,5,105,"Kiểu Pháp, Kiểu Âu, Quầy rượu vang",N,,
95,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d11707899-Reviews-Urbane_Lounge-Ho_Chi_Minh_City.html,"148 Trần Hưng Đạo Quận 1, thuộc Khách Sạn Pullman, Thành phố Hồ Chí Minh Việt Nam",Urbane Lounge,Thành phố Hồ Chí Minh,Y,4.5,155,"Kiểu Mỹ, Kiểu Việt, Quầy bar, Quốc tế",Y,240000,100000
96,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7152997-Reviews-SORAE_Sushi_Lounge-Ho_Chi_Minh_City.html,"76A, đường Lê Lai, Quận 1 Lầu 24 - 25 tòa nhà AB, Thành phố Hồ Chí Minh 70000 Việt Nam",Sorae Restaurant - Lounge,Thành phố Hồ Chí Minh,Y,4.5,416,"Kiểu Nhật, Sushi, Kiểu Á, Thịt nướng",Y,1162791,232558
97,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3741121-Reviews-Pho_Le-Ho_Chi_Minh_City.html,"415 Nguyễn Trãi, Thành phố Hồ Chí Minh 70000 Việt Nam",Pho Le,Thành phố Hồ Chí Minh,N,4.5,494,"Kiểu Á, Kiểu Việt, Súp",N,,
98,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1569216-Reviews-Hoa_Tuc-Ho_Chi_Minh_City.html,"74/7 Hai Bà Trưng Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Hoa Túc,Thành phố Hồ Chí Minh,Y,4.5,2412,"Kiểu Á, Kiểu Việt, Đương đại",Y,,
